Event Code,Cruise,Date (Standard),Time (Standard),Date/Time (Standard),GMT Diff,Date/Time (GMT),Lat,Long,DecLat,DecLong,Port Obs,Stbd Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir T,Wind spd T,Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species 1,Species 2,sp1 Percent,sp2 Percent,Effort (on/off),Off effort code,Transect (on/off),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera 1,First frame 1,Last Frame 1,Photographer (Cam 2),Camera 2,First frame 2,Last Frame 2,Comments
B,CalCOFI0907M2,7/14/2009 17:55:00,,7/14/2009 17:55,8:00:00,7/15/2009 1:55,,,32.62615204,-117.2628098,AMH,KPM,G,5,CL,20,,,M,,,2.0,1,,,,347,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,"Orange text = text added by AJD to fill in missing data.  Extrapolated from nearby times. Any Vis entry that had "">"" or ""<"" was changed to the value given without the ""<"" or "">"""
ST,CalCOFI0907M2,7/14/2009 17:55:00,,7/14/2009 17:55,8:00:00,7/15/2009 1:55,,,32.62615204,-117.2628098,AMH,KPM,G,5,CL,20,,,M,,,2.0,1,,,,347,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,
OO,CalCOFI0907M2,7/14/2009 18:39:00,,7/14/2009 18:39,8:00:00,7/15/2009 2:39,,,32.742939,-117.2961121,AMH,AMH,G,5,CL,20,,,M,,,2.0,1,,,,347,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,KPM DOWN
W,CalCOFI0907M2,7/14/2009 18:43:00,,7/14/2009 18:43,8:00:00,7/15/2009 2:43,,,32.75374603,-117.2992859,AMH,AMH,G,5,CL,20,,,SL,,,1.0,1,,,,346,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,
E,CalCOFI0907M2,7/14/2009 18:51:00,,7/14/2009 18:51,8:00:00,7/15/2009 2:51,,,32.77661514,-117.3059235,AMH,AMH,G,5,CL,20,,,SL,,,1.0,1,,,,347,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,END OF DAY
ET,CalCOFI0907M2,7/14/2009 18:51:00,,7/14/2009 18:51,8:00:00,7/15/2009 2:51,,,32.77661514,-117.3059235,AMH,AMH,G,5,CL,20,,,SL,,,1.0,1,,,,347,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,END OF DAY
B,CalCOFI0907M2,7/15/2009 5:12:00,,7/15/2009 5:12,8:00:00,7/15/2009 13:12,,,32.87636185,-117.4641418,KPM,AMH,G,5,OV,90,,,NG,,,2.0,3,,,,243,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ST,CalCOFI0907M2,7/15/2009 5:12:00,,7/15/2009 5:12,8:00:00,7/15/2009 13:12,,,32.87636185,-117.4641418,KPM,AMH,G,5,OV,90,,,NG,,,2.0,3,,,,243,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
SH,CalCOFI0907M2,7/15/2009 5:17:00,,7/15/2009 5:17,8:00:00,7/15/2009 13:17,,,32.8699,-117.4794,KPM,AMH,,,,,,,,,,,,SH1,KPM,,,272,0.1,,,,,,,,,,,SHIP,,,,ON,,ON,,,,,,,,,,,,,,
SH,CalCOFI0907M2,7/15/2009 5:22:00,,7/15/2009 5:22,8:00:00,7/15/2009 13:22,,,32.8636,-117.4948,KPM,AMH,,,,,,,,,,,,SH2,AMH,,,259,0.1,,,,,,,,,,,SHIP,,,,ON,,ON,,,,,,,,,,,,,,
ET,CalCOFI0907M2,7/15/2009 5:24:00,,7/15/2009 5:24,8:00:00,7/15/2009 13:24,,,32.86121368,-117.5009308,KPM,AMH,G,5,OV,90,,,NG,,,2.0,3,,,,243,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
ST,CalCOFI0907M2,7/15/2009 8:25:00,,7/15/2009 8:25,8:00:00,7/15/2009 16:25,,,32.78986359,-117.6064606,KPM,AMH,G,5,OV,90,,,NG,,,1.0,2,,,,246,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTING STATION 93/30
SH,CalCOFI0907M2,7/15/2009 9:05:00,,7/15/2009 9:05,8:00:00,7/15/2009 17:05,,,32.74562073,-117.7173843,KPM,AMH,,,,,,,,,,,,SH3,AMH,,,273,3.8,,,,,,,,,,,SHIP,,,,ON,,ON,,,,,,,,,,,,,,PRIVATE FISHING VESSEL
