Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI1110NH,10/16/2011,13:01,10/16/2011 13:01,8:00:00,10/16/2011 21:01,,,32.68083,-117.22983,KW,TK,G,6,OV,90,210,230,SL,240,8,3,3,,,,177,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,Begin CalCOFI begin noncoastal transect to station 93-26.7. No array near shore
ST,CalCOFI1110NH,10/16/2011,13:01,10/16/2011 13:01,8:00:00,10/16/2011 21:01,,,32.68083,-117.22983,KW,TK,G,6,OV,90,210,230,SL,240,8,3,3,,,,177,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,Begin CalCOFI begin noncoastal transect to station 93-26.7. No array near shore
W,CalCOFI1110NH,10/16/2011,13:01,10/16/2011 13:01,8:00:00,10/16/2011 21:01,,,32.68083,-117.22983,KW,TK,G,6,OV,90,210,230,SL,240,8,3,3,,,,177,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,Begin CalCOFI begin noncoastal transect to station 93-26.7. No array near shore
P,CalCOFI1110NH,10/16/2011,13:19,10/16/2011 13:19,8:00:00,10/16/2011 21:19,,,32.63500,-117.24200,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,,,,280,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,
W,CalCOFI1110NH,10/16/2011,13:19,10/16/2011 13:19,8:00:00,10/16/2011 21:19,,,32.63500,-117.24200,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,,,,280,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,Begin CalCOFI begin noncoastal transect to station 93-26.7. No array near shore
SB,CalCOFI1110NH,10/16/2011,13:21,10/16/2011 13:21,8:00:00,10/16/2011 21:21,,,32.64000,-117.25817,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,1,KW,3,295,280,,200,,,,,,4,4,6,0,Dc,,,,ON,,OFF,1,2,5,,,,,,,,,,,
SE,CalCOFI1110NH,10/16/2011,13:21,10/16/2011 13:21,8:00:00,10/16/2011 21:21,,,32.64000,-117.25817,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,1,KW,3,295,280,,200,,,,,,4,4,6,0,Dc,,,,ON,,OFF,1,2,5,,,,,,,,,,,
P,CalCOFI1110NH,10/16/2011,13:31,10/16/2011 13:31,8:00:00,10/16/2011 21:31,,,32.65183,-117.27350,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,,,,328,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,
SB,CalCOFI1110NH,10/16/2011,13:35,10/16/2011 13:35,8:00:00,10/16/2011 21:35,,,32.66167,-117.26000,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,2,TK,1,350,15,,300,,,,,,5,5,7,ND,Dc,,,,ON,,OFF,1,2,,,,,,,,,,,,
SE,CalCOFI1110NH,10/16/2011,13:35,10/16/2011 13:35,8:00:00,10/16/2011 21:35,,,32.66167,-117.26000,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,2,TK,1,350,15,,300,,,,,,5,5,7,ND,Dc,,,,ON,,OFF,1,2,,,,,,,,,,,,
SB,CalCOFI1110NH,10/16/2011,14:24,10/16/2011 14:24,8:00:00,10/16/2011 22:24,,,32.79950,-117.31300,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,3,KW,2,350,348,2,,,2,14,260,360,570,530,750,16,Dc,,,,ON,,OFF,1,2,8,5,Y,KW,20D,1,29,TK,7D,1,12,wide spread dolphin school surrounding ship
SE,CalCOFI1110NH,10/16/2011,14:24,10/16/2011 14:24,8:00:00,10/16/2011 22:24,,,32.79950,-117.31300,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,3,KW,2,350,348,2,,,2,14,260,360,570,530,750,16,Dc,,,,ON,,OFF,1,2,8,5,Y,KW,20D,1,29,TK,7D,1,12,wide spread dolphin school surrounding ship
P,CalCOFI1110NH,10/16/2011,14:57,10/16/2011 14:57,8:00:00,10/16/2011 22:57,,,32.88000,-117.31900,KW,TK,F,6,PC,40,0,0,0,320,10,3,4,,,,10,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,
W,CalCOFI1110NH,10/16/2011,14:57,10/16/2011 14:57,8:00:00,10/16/2011 22:57,,,32.88000,-117.31900,KW,TK,F,6,PC,40,0,0,0,320,10,3,4,,,,10,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,
ET,CalCOFI1110NH,10/16/2011,15:21,10/16/2011 15:21,8:00:00,10/16/2011 23:21,,,32.95417,-117.30550,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,1,,,,,,,,,,,,,"on station 93-26.7, no sona buoys since to shallow"
PINN,CalCOFI1110NH,10/16/2011,15:21,10/16/2011 15:21,8:00:00,10/16/2011 23:21,,,32.95417,-117.30550,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,PINN1,,,,,,,,,,,,21,21,21,0,ZaCa,,,,ON,,OFF,1,,,,,,,,,,,,,accumulative ZACA count with in 50 nm from shores
W,CalCOFI1110NH,10/16/2011,15:21,10/16/2011 15:21,8:00:00,10/16/2011 23:21,,,32.95417,-117.30550,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,1,,,,,,,,,,,,,
