Event Code,Date/Time         (Local),DecLat,DecLong,Port     Obs,Stbd     Obs,Ship Heading Tru,Best,Effort (ON/OFF),Transect (ON/OFF),Comments
B,7/8/2015 9:12,32.63302,-117.26551,KW,AD,330,,Off,Off,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
C,7/8/2015 9:12,32.63302,-117.26551,KW,AD,330,,Off,Off,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
ST,7/8/2015 9:12,32.63302,-117.26551,KW,AD,330,,Off,Off,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
C,7/8/2015 11:00,32.95582,-117.30589,KW,AD,0,,Off,Off,On SCOOS 93/26.7 from Port San Diego.  Starting observations after this station.  
ET,7/8/2015 11:00,32.95582,-117.30589,KW,AD,0,,Off,Off,On SCOOS 93/26.7 from Port San Diego.  Starting observations after this station.  
SB,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
SE,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
ST,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
W,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
ET,7/8/2015 12:51,32.93902,-117.30991,KW,AD,220,,Off,Off,On SCOOS 93.4/26.4.
ST,7/8/2015 14:01,32.95447,-117.29092,KW,AD,220,,On,Off,"Leaving SCOOS 93.4/26.4, going to SCOOS 91.7/26.4.  Non-standard coastal transect.  No array."
W,7/8/2015 14:01,32.95447,-117.29092,KW,AD,220,,On,Off,"Leaving SCOOS 93.4/26.4, going to SCOOS 91.7/26.4.  Non-standard coastal transect.  No array."
SB,7/8/2015 14:07,32.96942,-117.29983,KW,AD,270,1,On,Off,
SE,7/8/2015 14:07,32.96942,-117.29983,KW,AD,270,1,On,Off,
W,7/8/2015 14:07,32.96942,-117.29983,KW,AD,270,1,On,Off,
SB,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,30,On,Off,
SE,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,30,On,Off,
W,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,30,On,Off,
SB,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,1,On,Off,likely fin or humpback.  Dark color.
SE,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,1,On,Off,likely fin or humpback.  Dark color.
W,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,1,On,Off,likely fin or humpback.  Dark color.
SB,7/8/2015 14:37,33.055,-117.34562,KW,AD,330,1,On,Off,
SE,7/8/2015 14:37,33.055,-117.34562,KW,AD,330,1,On,Off,
W,7/8/2015 14:37,33.055,-117.34562,KW,AD,330,1,On,Off,
SB,7/8/2015 14:49,33.08725,-117.36612,KW,AD,330,1,On,Off,
SE,7/8/2015 14:49,33.08725,-117.36612,KW,AD,330,1,On,Off,
W,7/8/2015 14:49,33.08725,-117.36612,KW,AD,330,1,On,Off,
W,7/8/2015 15:16,33.16227,-117.4139,KW,AD,330,,On,Off,
ET,7/8/2015 15:50,33.24619,-117.46282,KW,AD,,,Off,Off,On SCOOS 91.7/26.4.  No sonobuoys.
OO,7/8/2015 16:44,33.21146,-117.46107,KW,KW,170,,Off,Off,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
ST,7/8/2015 16:44,33.21146,-117.46107,KW,KW,170,,Off,Off,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
W,7/8/2015 16:44,33.21146,-117.46107,KW,KW,170,,Off,Off,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
SB,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
SE,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
W,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
SB,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
SE,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
W,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
OB,7/8/2015 17:10,33.12791,-117.44214,KW,AD,170,,On,Off,"Two observers on.  Off transect, heading south to line 93."
W,7/8/2015 17:10,33.12791,-117.44214,KW,AD,170,,On,Off,"Two observers on.  Off transect, heading south to line 93."
SB,7/8/2015 17:14,33.11509,-117.43833,KW,AD,170,1,On,Off,likely a blue whale
SE,7/8/2015 17:14,33.11509,-117.43833,KW,AD,170,1,On,Off,likely a blue whale
W,7/8/2015 17:14,33.11509,-117.43833,KW,AD,170,1,On,Off,likely a blue whale
SB,7/8/2015 17:14,33.11509,-117.43833,KW,AD,162,350,On,Off,
SE,7/8/2015 17:14,33.11509,-117.43833,KW,AD,162,350,On,Off,
W,7/8/2015 17:14,33.11509,-117.43833,KW,AD,162,350,On,Off,
OO,7/8/2015 17:58,32.97002,-117.40446,KW,KW,170,,Off,Off,AD pulling in array.
W,7/8/2015 17:58,32.97002,-117.40446,KW,KW,170,,Off,Off,AD pulling in array.
SB,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,3,Off,Off,
SE,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,3,Off,Off,
W,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,3,Off,Off,
PINN1,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,1,Off,Off,"accumulative ZaCa count, nearshore.  "
E,7/8/2015 18:15,32.91741,-117.3949,,,,,Off,On,On station 93/26.7.  No sonobuoys.
ET,7/8/2015 18:15,32.91741,-117.3949,,,,,Off,On,On station 93/26.7.  No sonobuoys.
B,7/9/2015 7:50,32.50088,-118.23949,AD,KW,240,,On,On,"Leaving station 93/40, going to station 93/45.  Array deployed."
ST,7/9/2015 7:50,32.50088,-118.23949,AD,KW,240,,On,On,"Leaving station 93/40, going to station 93/45.  Array deployed."
W,7/9/2015 7:50,32.50088,-118.23949,AD,KW,240,,On,On,"Leaving station 93/40, going to station 93/45.  Array deployed."
SB,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
SE,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
ST,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
W,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
T,7/9/2015 12:05,32.31433,-118.59503,AD,KW,240,1,On,On,"Unid turtle species, 1 foot diamter in shell size."
SB,7/9/2015 12:05,32.31433,-118.59503,AD,KW,240,120,On,On,
SE,7/9/2015 12:05,32.31433,-118.59503,AD,KW,240,120,On,On,
ET,7/9/2015 12:36,32.26885,-118.69217,AD,KW,,,Off,Off,All science stopped.  Returning to port San Diego due to crew emergency on land.
C,7/9/2015 12:39,32.26703,-118.68325,AD,KW,75,,On,Off,Array still deployed while transiting to port San Diego.  Opportunistic observations continuing.
ST,7/9/2015 12:39,32.26703,-118.68325,AD,KW,75,,On,Off,Array still deployed while transiting to port San Diego.  Opportunistic observations continuing.
T,7/9/2015 12:44,32.272,-118.66462,AD,KW,75,1,On,Off,"Loggerhead turtle, 1.4 feet diameter size shell."
E,7/9/2015 12:45,32.27252,-118.66266,AD,KW,,,Off,Off,Break from opportunistic observations.  Array still in water.
ET,7/9/2015 12:45,32.27252,-118.66266,AD,KW,,,Off,Off,Break from opportunistic observations.  Array still in water.
T,7/9/2015 12:59,32.28664,-118.61099,AD,KW,70,3,On,Off,"Loggerhead turtles, average length 1.3 feet diameter size shell."
T,7/9/2015 13:04,32.29114,-118.5943,AD,KW,72,1,On,Off,"Unid turtle species, 1 foot diameter size shell."
SB,7/9/2015 13:04,32.29114,-118.5943,AD,KW,70,320,On,Off,
SE,7/9/2015 13:04,32.29114,-118.5943,AD,KW,70,320,On,Off,
W,7/9/2015 13:04,32.29114,-118.5943,AD,KW,70,320,On,Off,
SB,7/9/2015 18:09,32.57201,-117.44407,AD,KW,240,1,On,On,
SE,7/9/2015 18:09,32.57201,-117.44407,AD,KW,240,1,On,On,
W,7/9/2015 18:09,32.57201,-117.44407,AD,KW,240,1,On,On,
SB,7/9/2015 19:05,32.62061,-117.24172,AD,KW,240,70,On,On,
SE,7/9/2015 19:05,32.62061,-117.24172,AD,KW,240,70,On,On,
W,7/9/2015 19:05,32.62061,-117.24172,AD,KW,240,70,On,On,
OO,7/9/2015 19:18,32.64217,-117.22922,KW,KW,240,,Off,On,AD bringing in array.  2 sonobuoys deployed.
T,7/9/2015 19:35,32.69207,-117.23151,KW,KW,240,1,Off,On,"Loggerhead turtle, 1 foot diameter in shell size.  "
