Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI1507OC,7/8/2015,9:12,7/8/2015 9:12,7:00:00,7/8/2015 16:12,,,32.63302,-117.26551,KW,AD,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,Off,7,Off,1,,,,,,,,,,,,,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
C,CalCOFI1507OC,7/8/2015,9:12,7/8/2015 9:12,7:00:00,7/8/2015 16:12,,,32.63302,-117.26551,KW,AD,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,Off,7,Off,1,,,,,,,,,,,,,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
ST,CalCOFI1507OC,7/8/2015,9:12,7/8/2015 9:12,7:00:00,7/8/2015 16:12,,,32.63302,-117.26551,KW,AD,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,Off,7,Off,1,,,,,,,,,,,,,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
C,CalCOFI1507OC,7/8/2015,11:00,7/8/2015 11:00,7:00:00,7/8/2015 18:00,,,32.95582,-117.30589,KW,AD,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Off,1,Off,1,,,,,,,,,,,,,On SCOOS 93/26.7 from Port San Diego.  Starting observations after this station.  
ET,CalCOFI1507OC,7/8/2015,11:00,7/8/2015 11:00,7:00:00,7/8/2015 18:00,,,32.95582,-117.30589,KW,AD,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Off,1,Off,1,,,,,,,,,,,,,On SCOOS 93/26.7 from Port San Diego.  Starting observations after this station.  
ST,CalCOFI1507OC,7/8/2015,12:08,7/8/2015 12:08,7:00:00,7/8/2015 19:08,,,32.95592,-117.30588,KW,AD,F,7,OV,80,0,0,0,250,11,3,3,1,AD,1,250,267,1.2,,,,,,,60,45,70,ND,UD,,,,On,,On,,2,,,,,,,,,,,,From 93/26.7 going to 93.4/26.4.  No array.  
ET,CalCOFI1507OC,7/8/2015,12:51,7/8/2015 12:51,7:00:00,7/8/2015 19:51,,,32.93902,-117.30991,KW,AD,F,7,PC,30,210,310,SL,230,14,4,3,,,,220,,,,,,,,,,,,,,,,,Off,1,Off,1,,,,,,,,,,,,,On SCOOS 93.4/26.4.
ST,CalCOFI1507OC,7/8/2015,14:01,7/8/2015 14:01,7:00:00,7/8/2015 21:01,,,32.95447,-117.29092,KW,AD,F,7,PC,30,210,300,SL,230,14,4,3,,,,220,,,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,"Leaving SCOOS 93.4/26.4, going to SCOOS 91.7/26.4.  Non-standard coastal transect.  No array."
ET,CalCOFI1507OC,7/8/2015,15:50,7/8/2015 15:50,7:00:00,7/8/2015 22:50,,,33.24619,-117.46282,KW,AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off,1,Off,1,,,,,,,,,,,,,On SCOOS 91.7/26.4.  No sonobuoys.
OO,CalCOFI1507OC,7/8/2015,16:44,7/8/2015 16:44,7:00:00,7/8/2015 23:44,,,33.21146,-117.46107,KW,KW,G,7,OV,85,210,320,M,240,8,3,3,,,,170,,,,,,,,,,,,,,,,,Off,6,Off,7,,,,,,,,,,,,,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
ST,CalCOFI1507OC,7/8/2015,16:44,7/8/2015 16:44,7:00:00,7/8/2015 23:44,,,33.21146,-117.46107,KW,KW,G,7,OV,85,210,320,M,240,8,3,3,,,,170,,,,,,,,,,,,,,,,,Off,6,Off,7,,,,,,,,,,,,,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
OB,CalCOFI1507OC,7/8/2015,17:10,7/8/2015 17:10,7:00:00,7/9/2015 0:10,,,33.12791,-117.44214,KW,AD,G,7,OV,90,0,0,0,210,8,3,3,,,,170,,,,,,,,,,,,,,,,,On,,Off,7,,,,,,,,,,,,,"Two observers on.  Off transect, heading south to line 93."
OO,CalCOFI1507OC,7/8/2015,17:58,7/8/2015 17:58,7:00:00,7/9/2015 0:58,,,32.97002,-117.40446,KW,KW,G,7,OV,80,0,0,0,240,8,3,3,,,,170,,,,,,,,,,,,,,,,,Off,6,Off,7,,,,,,,,,,,,,AD pulling in array.
PINN1,CalCOFI1507OC,7/8/2015,18:15,7/8/2015 18:15,7:00:00,7/9/2015 1:15,,,32.91741,-117.39490,KW,KW,G,7,OV,90,0,0,0,240,7,3,3,P1,,,170,,,,,,,,,1,1,1,1,ZaCa,,,,Off,6,Off,7,1,,,,,,,,,,,,"accumulative ZaCa count, nearshore.  "
E,CalCOFI1507OC,7/8/2015,18:15,7/8/2015 18:15,7:00:00,7/9/2015 1:15,,,32.91741,-117.39490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off,1,On,,,,,,,,,,,,,,On station 93/26.7.  No sonobuoys.
ET,CalCOFI1507OC,7/8/2015,18:15,7/8/2015 18:15,7:00:00,7/9/2015 1:15,,,32.91741,-117.39490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off,1,On,,,,,,,,,,,,,,On station 93/26.7.  No sonobuoys.
B,CalCOFI1507OC,7/9/2015,7:50,7/9/2015 7:50,7:00:00,7/9/2015 14:50,,,32.50088,-118.23949,AD,KW,F,7,PC,35,0,0,0,270,12,3,3,,,,240,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,"Leaving station 93/40, going to station 93/45.  Array deployed."
ST,CalCOFI1507OC,7/9/2015,7:50,7/9/2015 7:50,7:00:00,7/9/2015 14:50,,,32.50088,-118.23949,AD,KW,F,7,PC,35,0,0,0,270,12,3,3,,,,240,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,"Leaving station 93/40, going to station 93/45.  Array deployed."
